Unnamed: 0_x,starname,Teff,err_Teff,logg,err_logg,FeH,err_FeH,X2,cz,err_cz,chi2,l,b,SNR_4000_4100,SNR_5000_5100,rv,double
0,Pristine_164229.13-285103.6,4685.99850485,30.5003953111,1.5294613,0.077113095,-1.9208217,0.038748356,0.885963,5.6741436,1.8464792,-3.464,-8.00127513665916,11.29140906720208,26.59279112884964,73.63919067382812,78.5522,no
1,Pristine_164823.57-295252.7,5161.394634699999,28.989131408200002,2.3364642000000004,0.070737689,-1.416228,0.036089798,0.925633,5.1620068,1.9202127,-3.197,-7.977364226493478,9.642953543217873,25.6689453125,68.07379214638158,10.7175,no
2,Pristine_164638.05-290642.8,5332.71303579,32.3894159557,2.7340175,0.080907918,-1.7306582,0.040800743,0.935861,-5.2431848,2.610666,-3.0,-7.617551155353055,10.42583802603906,21.961490406709558,62.69646951426631,3.4648,no
3,Pristine_170656.15-265404.5,5030.87045095,48.9426081251,2.6130383,0.11019915,-1.2572828,0.056047808,0.86666,21.985851,2.7847524,-2.864,-3.068736434258483,8.231712054409522,11.012308502197266,46.63520050048828,45.9338,no
4,Pristine_170939.83-265354.0,4644.57615729,51.757564028400004,1.4622819,0.12716595,-1.8511287,0.070226043,0.7249720000000001,45.235204,3.4122155,-2.985,-2.705531807323325,7.7412498067821085,11.686810980902774,44.77943338373656,-216.9634,no
5,Pristine_171839.65-284738.6,4665.01626557,81.1261830317,1.7691307,0.20811302,-1.7140825000000002,0.10895919,0.855482,49.151142,4.4370273000000005,-2.656,-3.1057755670700544,5.022772495832103,4.300454860780297,27.884706239442572,-71.0236,no
6,Pristine_183211.06-254717.4,5222.09165077,42.1982898818,3.0080566,0.10268282,-1.7771707,0.052692715,0.883549,-5.4554414000000016,3.557425,-2.766,7.7617054979549955,-7.5349752034088695,11.470773092130337,56.1065687242445,175.658,no
7,Pristine_171150.14-291613.4,6569.67800248,202.999446397,4.5748514,0.27980848,-0.15735255,0.19256858,0.6817,-51.259796,19.34795,-2.539,-4.361827585237279,5.965853499682523,0.3303623682335962,11.091480601917613,-43.9413,yes
8,Pristine_171749.51-281807.9,4555.16302776,78.0841150193,1.3350319,0.19473719,-1.9868031000000004,0.10917742,0.7293029999999999,-13.208604,4.8823754,-3.157,-2.8055951343483234,5.454337421066562,6.868823065274004,29.03963856214888,-180.8452,no
9,Pristine_164804.63-291024.6,5028.10875827,18.468857095,2.5924192,0.043521964,-1.3854797,0.022788951,1.4081,-10.775416,1.1635142,-3.22,-7.463779740599933,10.14267571335188,37.914684760861284,99.76039566532258,-17.3545,no
10,Pristine_165456.62-255841.7,5053.4113042,30.5588298835,2.6718561000000003,0.07229582,-1.4081566,0.038543483,0.846342,2.0840465,1.9870511,-3.487,-3.954919126196273,10.932495030281414,24.12924415477808,54.367124495967744,13.6249,no
11,Pristine_165120.64-291346.6,4682.58880765,28.429269907800002,1.3703168,0.064301978,-1.8237009,0.037250859,0.932598,0.84825177,1.5400564,-3.1630000000000003,-7.05430170455179,9.552232293526377,18.31627960205078,80.01418669327445,-237.8383,no
12,Pristine_170617.08-262451.0,5254.85347524,28.9153382109,2.6517532000000004,0.069764949,-1.3453354,0.036588602000000005,0.850377,7.9155918,2.0510932,-2.9730000000000003,-2.7580571200430204,8.636646345351298,25.679974026150173,61.87728445870536,-317.5202,no
13,Pristine_165824.53-293232.1,5377.1393908,30.5177192168,2.8266493,0.077895406,-1.4052718000000002,0.041279174,1.01209,23.085025,2.8091857000000005,-2.194,-6.341703830722508,8.148548120312686,23.02486766468395,56.466616981907904,-158.6647,no
